Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Short Win 50%,Short,Win,50%,2.0,227.26,6.0,17.0,10.5,75.0,9.5,0.06,0.78,1.08,20.0,17.5,86.73,1.0,1.0,5.0,20.0,100.0,4.0,21.0,23.5,15.98,-2.59,17.39,-5.4,0.11,-0.04,0.12,-0.07,18.0,3.5,15.0,5.0,0.06,0.04,0.03,0.03,1.76,1.11,0.05,0.05,1.14,3.02,-1.16,5.0,9.5,0.09,0.14,0.03,0.12,0.31,-0.01,0.33,-0.07,18.0,1.0,18.5,1.5,227.29,0.27,0.27,0.57,0.43,0.74,-0.0,-0.0,0.74,1.35,0.08,0.1,0.97,0.95,2.5,5.0,19.0,0.22,1.1,-0.0,9.5,37286.0,741.5,0.07,0.05,0.01,0.01,38.95,4.36,39.11,3.26,227.05,0.2,0.94,0.21,227.57,0.28,227.57,0.28,0.2,0.16,0.15,35849.15,638.74,-0.0,0.0,0.1,0.09,0.17,27.71,19.94,-0.31,0.3,-2.81,-0.85,0.62,0.0,-0.33,0.31,-2.83,-0.84,0.67,0.0
Short Win 75%,Short,Win,75%,2.75,233.66,7.75,23.0,20.25,90.0,17.11,0.09,0.94,1.33,27.5,24.0,97.3,2.5,3.0,7.5,27.5,100.0,8.0,28.25,30.75,26.96,-0.06,31.17,-2.18,0.15,-0.0,0.17,-0.04,24.0,7.0,22.75,9.0,0.07,0.07,0.04,0.05,2.68,1.83,0.11,0.08,1.41,3.67,-0.48,8.0,12.75,0.12,0.2,0.04,0.3,0.48,0.0,0.53,-0.06,24.0,3.75,24.5,2.0,234.0,0.35,0.35,0.79,0.57,0.85,-0.0,-0.0,0.85,1.85,0.12,0.13,1.21,1.04,4.75,7.0,46.25,0.34,1.68,-0.0,11.75,44380.0,851.0,0.11,0.08,0.02,0.01,42.13,5.66,48.46,6.04,233.84,0.87,1.28,0.92,234.12,0.38,234.11,0.37,0.26,0.23,0.2,47529.58,828.82,-0.0,0.0,0.14,0.13,0.22,32.81,25.16,-0.21,0.33,-2.17,-0.64,0.71,0.0,-0.21,0.33,-2.34,-0.61,0.71,0.0
Short Win max,Short,Win,max,6.0,238.91,10.0,87.0,60.0,127.0,112.53,0.8,1.32,1.87,52.0,52.0,100.0,5.0,10.0,11.0,52.0,100.0,17.0,53.0,55.0,155.16,0.0,173.43,-1.02,1.05,0.0,1.11,-0.02,50.0,12.0,50.0,16.0,0.12,0.15,0.11,0.12,8.69,3.52,0.44,0.29,1.67,6.04,0.76,33.0,37.0,0.22,0.56,0.17,1.52,1.94,0.0,2.03,-0.03,50.0,11.0,50.0,9.0,239.24,0.52,0.52,0.88,0.81,0.97,-0.0,-0.0,0.97,5.26,0.3,0.3,1.87,1.18,14.0,51.0,138.0,0.62,2.75,0.01,33.0,107966.0,1224.0,0.26,0.27,0.04,0.02,50.07,7.93,72.05,13.33,238.78,1.79,2.91,1.96,239.56,0.66,239.55,0.63,0.42,0.35,0.35,62600.44,1056.27,-0.0,0.0,0.24,0.22,0.36,66.52,41.81,0.02,0.38,5.52,0.14,0.77,0.0,0.16,0.41,4.02,0.3,0.8,0.0
Short Lose mean,Short,Lose,mean,0.27,227.31,3.34,72.25,8.09,77.19,-6.7,-0.13,0.28,0.4,5.83,1.36,15.14,1.39,2.0,5.83,5.0,33.93,2.95,4.61,6.67,1.54,-6.73,2.52,-7.41,0.02,-0.13,0.04,-0.14,2.8,6.66,3.62,6.16,0.07,-0.03,0.04,0.03,1.82,-1.05,-0.0,0.02,-1.03,1.05,-3.34,3.22,5.36,0.03,0.07,0.05,-0.08,0.05,-0.1,0.09,-0.12,2.55,5.36,2.88,3.78,227.4,0.3,0.3,0.6,0.4,0.65,-0.0,-0.0,0.65,2.45,0.09,0.11,1.09,1.03,8.12,14.97,26.08,0.26,1.33,-0.0,10.38,41503.23,781.12,0.06,0.04,0.01,0.01,41.72,4.43,42.73,3.21,227.87,0.47,1.11,0.56,227.65,0.25,227.64,0.24,0.22,0.19,0.17,38473.01,711.72,-0.0,0.0,0.12,0.11,0.18,30.68,14.32,-0.25,0.28,-2.24,-0.65,0.64,0.0,-0.28,0.31,-2.2,-0.65,0.65,0.0
Short Lose std,Short,Lose,std,0.62,7.55,1.65,23.21,8.09,20.49,7.91,0.06,0.31,0.43,4.44,2.8,22.93,1.08,1.14,4.44,5.07,33.48,2.84,4.63,4.54,3.96,7.89,4.91,8.35,0.04,0.06,0.05,0.06,3.44,4.24,3.35,3.87,0.04,0.06,0.02,0.02,0.92,1.87,0.03,0.02,1.61,2.6,1.79,2.26,4.29,0.06,0.07,0.04,0.08,0.08,0.06,0.08,0.06,2.96,4.42,3.08,3.61,7.56,0.1,0.1,0.18,0.18,0.21,0.01,0.0,0.21,4.68,0.09,0.1,0.37,0.13,14.68,21.26,22.73,0.2,0.69,0.0,5.46,17514.57,242.09,0.07,0.07,0.02,0.01,7.68,1.9,15.64,4.0,7.21,1.24,0.57,0.95,7.53,0.2,7.53,0.19,0.11,0.07,0.07,10751.95,160.27,0.0,0.0,0.06,0.05,0.06,10.02,14.21,0.15,0.06,1.07,0.38,0.12,0.0,0.19,0.06,1.13,0.4,0.12,0.0
Short Lose min,Short,Lose,min,0.0,216.75,2.0,16.0,1.0,44.0,-41.9,-0.34,0.01,0.01,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.15,0.0,1.0,2.0,0.0,-41.9,0.0,-43.02,0.0,-0.34,0.0,-0.36,0.0,1.0,0.0,1.0,-0.0,-0.19,0.01,0.01,-0.14,-5.19,-0.09,0.0,-5.31,-5.23,-8.36,1.0,1.0,-0.02,-0.09,-0.02,-0.3,0.0,-0.3,0.0,-0.34,0.0,0.0,0.0,0.0,217.14,0.16,0.15,0.25,0.08,0.03,-0.06,-0.01,0.03,1.0,0.0,0.0,0.46,0.8,1.0,1.0,2.0,0.05,0.0,-0.01,4.0,15311.0,364.0,-0.1,-0.14,-0.04,-0.0,22.96,-0.76,6.9,-6.39,217.77,-3.06,0.51,-1.19,217.4,-0.16,217.39,-0.16,0.08,0.08,0.08,21923.88,486.1,-0.0,0.0,0.05,0.05,0.1,14.07,-25.5,-0.46,0.17,-2.98,-1.0,0.33,0.0,-0.55,0.18,-2.98,-1.0,0.35,0.0
Short Lose 25%,Short,Lose,25%,0.0,220.71,2.0,60.75,2.0,63.5,-8.31,-0.17,0.08,0.11,3.0,0.0,0.0,1.0,1.0,3.0,1.0,10.26,1.0,1.0,3.0,0.0,-8.31,0.01,-10.65,0.0,-0.17,0.0,-0.18,0.0,3.75,1.0,3.0,0.04,-0.08,0.03,0.02,1.32,-2.29,-0.02,0.01,-2.18,-1.03,-3.96,2.0,2.0,0.0,0.03,0.01,-0.13,0.0,-0.14,0.03,-0.15,0.0,2.0,1.0,1.0,220.82,0.22,0.22,0.45,0.26,0.52,-0.0,-0.0,0.52,1.24,0.03,0.04,0.82,0.95,1.0,2.0,8.75,0.12,0.9,-0.0,6.0,26930.0,596.0,0.03,0.01,-0.0,0.0,36.97,3.05,35.17,0.7,222.08,-0.26,0.73,-0.18,221.04,0.14,221.03,0.14,0.15,0.14,0.13,30780.72,605.24,-0.0,0.0,0.08,0.07,0.13,24.77,6.54,-0.37,0.25,-2.9,-0.95,0.56,0.0,-0.43,0.28,-2.91,-0.96,0.57,0.0
Short Lose 50%,Short,Lose,50%,0.0,225.14,3.0,69.5,5.5,72.5,-3.56,-0.13,0.14,0.21,4.0,0.0,0.0,1.0,2.0,4.0,3.0,21.12,2.0,3.0,5.0,0.0,-3.56,0.42,-3.99,0.0,-0.13,0.03,-0.15,1.0,5.0,3.0,5.0,0.06,-0.04,0.03,0.03,1.64,-1.21,-0.01,0.02,-0.84,1.62,-3.13,3.0,4.0,0.0,0.06,0.04,-0.08,0.02,-0.09,0.06,-0.11,1.0,4.0,2.0,3.0,225.16,0.28,0.28,0.62,0.38,0.68,-0.0,-0.0,0.68,1.48,0.06,0.08,1.02,1.02,2.0,4.0,19.5,0.19,1.21,-0.0,10.0,38305.5,735.0,0.06,0.03,0.01,0.01,41.04,4.38,42.12,3.03,225.97,0.51,0.92,0.67,225.4,0.24,225.39,0.23,0.18,0.17,0.16,36902.5,665.48,-0.0,0.0,0.11,0.1,0.17,28.59,16.5,-0.28,0.29,-2.7,-0.77,0.65,0.0,-0.29,0.31,-2.72,-0.75,0.65,0.0
Short Lose 75%,Short,Lose,75%,0.0,233.43,4.0,87.0,11.0,88.25,-1.55,-0.09,0.38,0.55,7.5,1.0,25.0,1.0,3.0,7.5,8.0,45.99,4.0,7.0,9.0,0.83,-1.6,2.06,-1.79,0.03,-0.09,0.07,-0.11,4.0,9.25,5.0,9.0,0.09,-0.0,0.05,0.04,2.32,-0.09,0.01,0.03,0.21,2.49,-2.16,4.0,7.0,0.05,0.09,0.08,-0.04,0.07,-0.05,0.12,-0.09,4.0,7.0,4.25,6.0,233.58,0.34,0.34,0.74,0.55,0.81,0.0,0.0,0.81,1.92,0.14,0.16,1.31,1.09,5.0,21.25,35.5,0.33,1.76,-0.0,13.25,48395.75,875.75,0.09,0.07,0.02,0.01,44.68,5.68,52.54,6.18,234.56,1.12,1.28,1.32,233.73,0.33,233.73,0.32,0.26,0.22,0.2,43668.86,756.46,-0.0,0.0,0.16,0.13,0.2,36.0,22.65,-0.12,0.33,-2.03,-0.51,0.72,0.0,-0.14,0.35,-1.94,-0.46,0.71,0.0
Short Lose max,Short,Lose,max,2.0,240.6,7.0,128.0,43.0,129.0,-0.07,-0.0,1.34,1.89,21.0,15.0,85.71,7.0,4.0,21.0,20.0,100.0,13.0,21.0,22.0,21.53,-0.14,23.2,-0.14,0.19,-0.01,0.2,-0.01,15.0,20.0,14.0,20.0,0.19,0.14,0.13,0.08,5.78,2.84,0.08,0.07,2.43,9.07,-0.16,12.0,21.0,0.25,0.38,0.2,0.13,0.33,0.0,0.34,-0.04,13.0,21.0,14.0,15.0,240.63,0.53,0.54,0.92,0.75,1.0,-0.0,-0.0,1.0,31.0,0.4,0.4,2.11,1.49,69.0,101.0,99.0,1.0,2.78,0.0,27.0,90084.0,1380.0,0.38,0.27,0.07,0.03,62.48,9.27,80.98,12.31,238.73,3.39,2.9,2.1,240.85,1.16,240.83,1.12,0.55,0.38,0.39,73431.87,1198.53,-0.0,0.0,0.29,0.27,0.36,65.56,54.69,0.1,0.4,1.82,0.52,0.87,0.0,0.41,0.44,1.36,0.75,0.88,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Win count,Long,Win,count,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,23.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
