Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Win mean,Long,Win,mean,2.0,20.81,8.0,54.0,7.0,269.0,17.96,0.32,2.88,2.35,23.0,7.0,30.43,1.0,17.0,16.0,23.0,100.0,19.0,18.0,23.0,23.9,-4.71,28.05,-7.76,0.43,-0.56,0.5,-0.73,22.0,14.0,20.0,14.0,0.12,0.21,0.11,0.2,1.15,1.08,0.17,0.19,0.55,2.97,-2.96,18.0,3.0,0.36,0.53,-0.05,0.48,1.05,-0.39,1.16,-0.56,21.0,3.0,21.0,4.0,20.72,0.1,0.1,0.62,0.38,0.5,-0.04,0.0,0.5,2.01,0.0,0.0,0.91,0.91,5.0,8.0,67.0,0.17,1.7,0.0,14.0,121002.0,571.0,0.05,0.05,-0.01,0.0,71.91,1.11,66.65,-3.84,20.13,0.59,0.56,1.04,20.57,0.15,20.57,0.15,0.04,0.07,0.06,132535.72,564.48,0.0,0.0,0.04,0.04,0.07,47.28,10.71,-0.45,0.41,-2.55,-1.0,0.81,0.0,-0.44,0.39,-2.6,-1.0,0.81,0.0
Long Win std,Long,Win,std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Win min,Long,Win,min,2.0,20.81,8.0,54.0,7.0,269.0,17.96,0.32,2.88,2.35,23.0,7.0,30.43,1.0,17.0,16.0,23.0,100.0,19.0,18.0,23.0,23.9,-4.71,28.05,-7.76,0.43,-0.56,0.5,-0.73,22.0,14.0,20.0,14.0,0.12,0.21,0.11,0.2,1.15,1.08,0.17,0.19,0.55,2.97,-2.96,18.0,3.0,0.36,0.53,-0.05,0.48,1.05,-0.39,1.16,-0.56,21.0,3.0,21.0,4.0,20.72,0.1,0.1,0.62,0.38,0.5,-0.04,0.0,0.5,2.01,0.0,0.0,0.91,0.91,5.0,8.0,67.0,0.17,1.7,0.0,14.0,121002.0,571.0,0.05,0.05,-0.01,0.0,71.91,1.11,66.65,-3.84,20.13,0.59,0.56,1.04,20.57,0.15,20.57,0.15,0.04,0.07,0.06,132535.72,564.48,0.0,0.0,0.04,0.04,0.07,47.28,10.71,-0.45,0.41,-2.55,-1.0,0.81,0.0,-0.44,0.39,-2.6,-1.0,0.81,0.0
Long Win 25%,Long,Win,25%,2.0,20.81,8.0,54.0,7.0,269.0,17.96,0.32,2.88,2.35,23.0,7.0,30.43,1.0,17.0,16.0,23.0,100.0,19.0,18.0,23.0,23.9,-4.71,28.05,-7.76,0.43,-0.56,0.5,-0.73,22.0,14.0,20.0,14.0,0.12,0.21,0.11,0.2,1.15,1.08,0.17,0.19,0.55,2.97,-2.96,18.0,3.0,0.36,0.53,-0.05,0.48,1.05,-0.39,1.16,-0.56,21.0,3.0,21.0,4.0,20.72,0.1,0.1,0.62,0.38,0.5,-0.04,0.0,0.5,2.01,0.0,0.0,0.91,0.91,5.0,8.0,67.0,0.17,1.7,0.0,14.0,121002.0,571.0,0.05,0.05,-0.01,0.0,71.91,1.11,66.65,-3.84,20.13,0.59,0.56,1.04,20.57,0.15,20.57,0.15,0.04,0.07,0.06,132535.72,564.48,0.0,0.0,0.04,0.04,0.07,47.28,10.71,-0.45,0.41,-2.55,-1.0,0.81,0.0,-0.44,0.39,-2.6,-1.0,0.81,0.0
Long Win 50%,Long,Win,50%,2.0,20.81,8.0,54.0,7.0,269.0,17.96,0.32,2.88,2.35,23.0,7.0,30.43,1.0,17.0,16.0,23.0,100.0,19.0,18.0,23.0,23.9,-4.71,28.05,-7.76,0.43,-0.56,0.5,-0.73,22.0,14.0,20.0,14.0,0.12,0.21,0.11,0.2,1.15,1.08,0.17,0.19,0.55,2.97,-2.96,18.0,3.0,0.36,0.53,-0.05,0.48,1.05,-0.39,1.16,-0.56,21.0,3.0,21.0,4.0,20.72,0.1,0.1,0.62,0.38,0.5,-0.04,0.0,0.5,2.01,0.0,0.0,0.91,0.91,5.0,8.0,67.0,0.17,1.7,0.0,14.0,121002.0,571.0,0.05,0.05,-0.01,0.0,71.91,1.11,66.65,-3.84,20.13,0.59,0.56,1.04,20.57,0.15,20.57,0.15,0.04,0.07,0.06,132535.72,564.48,0.0,0.0,0.04,0.04,0.07,47.28,10.71,-0.45,0.41,-2.55,-1.0,0.81,0.0,-0.44,0.39,-2.6,-1.0,0.81,0.0
Long Win 75%,Long,Win,75%,2.0,20.81,8.0,54.0,7.0,269.0,17.96,0.32,2.88,2.35,23.0,7.0,30.43,1.0,17.0,16.0,23.0,100.0,19.0,18.0,23.0,23.9,-4.71,28.05,-7.76,0.43,-0.56,0.5,-0.73,22.0,14.0,20.0,14.0,0.12,0.21,0.11,0.2,1.15,1.08,0.17,0.19,0.55,2.97,-2.96,18.0,3.0,0.36,0.53,-0.05,0.48,1.05,-0.39,1.16,-0.56,21.0,3.0,21.0,4.0,20.72,0.1,0.1,0.62,0.38,0.5,-0.04,0.0,0.5,2.01,0.0,0.0,0.91,0.91,5.0,8.0,67.0,0.17,1.7,0.0,14.0,121002.0,571.0,0.05,0.05,-0.01,0.0,71.91,1.11,66.65,-3.84,20.13,0.59,0.56,1.04,20.57,0.15,20.57,0.15,0.04,0.07,0.06,132535.72,564.48,0.0,0.0,0.04,0.04,0.07,47.28,10.71,-0.45,0.41,-2.55,-1.0,0.81,0.0,-0.44,0.39,-2.6,-1.0,0.81,0.0
Long Win max,Long,Win,max,2.0,20.81,8.0,54.0,7.0,269.0,17.96,0.32,2.88,2.35,23.0,7.0,30.43,1.0,17.0,16.0,23.0,100.0,19.0,18.0,23.0,23.9,-4.71,28.05,-7.76,0.43,-0.56,0.5,-0.73,22.0,14.0,20.0,14.0,0.12,0.21,0.11,0.2,1.15,1.08,0.17,0.19,0.55,2.97,-2.96,18.0,3.0,0.36,0.53,-0.05,0.48,1.05,-0.39,1.16,-0.56,21.0,3.0,21.0,4.0,20.72,0.1,0.1,0.62,0.38,0.5,-0.04,0.0,0.5,2.01,0.0,0.0,0.91,0.91,5.0,8.0,67.0,0.17,1.7,0.0,14.0,121002.0,571.0,0.05,0.05,-0.01,0.0,71.91,1.11,66.65,-3.84,20.13,0.59,0.56,1.04,20.57,0.15,20.57,0.15,0.04,0.07,0.06,132535.72,564.48,0.0,0.0,0.04,0.04,0.07,47.28,10.71,-0.45,0.41,-2.55,-1.0,0.81,0.0,-0.44,0.39,-2.6,-1.0,0.81,0.0
Long Lose mean,Long,Lose,mean,0.33,20.79,4.33,263.33,27.33,268.33,-16.3,-0.71,1.16,0.95,6.33,0.33,3.7,1.0,4.0,6.33,4.0,43.45,10.33,5.0,8.33,0.19,-16.3,0.89,-16.3,0.01,-0.71,0.07,-0.71,9.0,14.0,10.67,14.0,0.09,-0.18,0.11,0.1,1.13,-2.06,-0.05,0.07,-0.1,4.91,-3.66,8.67,13.0,0.06,-0.07,0.16,-0.52,0.15,-0.52,0.32,-0.55,2.67,14.0,5.0,11.0,20.77,0.09,0.1,0.67,0.33,0.61,-0.02,0.0,0.61,1.84,0.03,0.04,1.46,1.08,25.0,32.67,50.0,0.3,1.46,-0.0,14.67,177952.0,719.67,-0.02,-0.01,-0.01,0.0,47.34,5.05,46.79,-0.13,20.16,0.61,0.58,1.06,20.77,-0.0,20.77,-0.0,0.08,0.06,0.05,130181.52,621.96,0.0,0.0,0.05,0.04,0.06,35.84,-4.7,-0.28,0.44,-2.52,-0.54,0.86,0.0,-0.26,0.38,-2.59,-0.45,0.85,0.0
Long Lose std,Long,Lose,std,0.58,0.13,2.08,56.32,5.69,50.96,16.1,0.1,1.2,0.98,3.79,0.58,6.42,0.0,,3.79,,49.41,11.02,3.0,2.08,0.32,16.1,1.0,16.1,0.02,0.1,0.08,0.1,12.29,9.54,10.69,9.54,0.19,0.16,0.05,0.03,1.62,1.85,0.07,0.04,0.79,3.64,0.63,13.28,10.58,0.06,0.44,0.05,0.09,0.07,0.09,0.09,0.08,1.53,9.54,1.0,12.77,0.12,0.02,0.0,0.17,0.17,0.22,0.04,0.0,0.22,0.8,0.04,0.04,0.67,0.1,38.11,32.87,69.35,0.33,0.9,0.0,3.51,60914.62,111.9,0.04,0.03,0.01,0.0,15.87,2.66,17.89,5.45,0.08,0.11,0.01,0.2,0.09,0.11,0.09,0.1,0.04,0.01,0.01,29200.4,168.55,0.0,0.0,0.01,0.0,0.01,19.25,23.52,0.31,0.01,0.44,0.79,0.04,0.0,0.26,0.03,0.37,0.91,0.05,0.0
Long Lose min,Long,Lose,min,0.0,20.72,2.0,220.0,21.0,235.0,-34.09,-0.82,0.22,0.18,2.0,0.0,0.0,1.0,4.0,2.0,4.0,8.64,3.0,2.0,6.0,0.0,-34.09,0.0,-34.09,0.0,-0.82,0.0,-0.82,0.0,8.0,4.0,8.0,-0.11,-0.3,0.06,0.07,-0.73,-3.49,-0.1,0.03,-0.99,2.27,-4.26,1.0,5.0,0.0,-0.56,0.11,-0.62,0.1,-0.62,0.23,-0.64,1.0,8.0,4.0,0.0,20.7,0.07,0.1,0.47,0.22,0.36,-0.06,0.0,0.36,1.26,0.0,0.02,0.72,0.98,3.0,5.0,7.0,0.05,0.65,-0.0,11.0,117366.0,637.0,-0.07,-0.05,-0.02,0.0,29.04,2.36,27.48,-6.2,20.07,0.49,0.57,0.85,20.67,-0.12,20.67,-0.12,0.06,0.05,0.04,109283.9,489.23,0.0,0.0,0.04,0.04,0.05,18.28,-31.08,-0.5,0.43,-2.87,-1.0,0.83,0.0,-0.43,0.35,-2.89,-1.0,0.8,0.0
