Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Lose 25%,Long,Lose,25%,0.0,133.39,2.0,199.0,7.5,207.0,-26.32,-0.24,0.18,0.21,3.0,0.0,0.0,1.0,1.0,3.0,2.0,7.68,0.0,1.0,4.0,0.0,-27.06,0.02,-27.28,0.0,-0.24,0.01,-0.28,0.0,4.0,1.0,4.0,0.05,-0.09,0.03,0.03,1.13,-1.95,-0.03,0.02,-1.58,0.44,-4.11,1.0,2.25,0.0,0.06,0.01,-0.19,0.0,-0.19,0.04,-0.25,0.0,3.25,0.0,2.0,133.27,0.19,0.19,0.51,0.18,0.5,0.0,0.0,0.5,1.29,0.03,0.04,0.9,0.93,1.0,2.0,8.25,0.09,1.02,-0.0,8.0,226561.75,2043.0,0.03,0.02,-0.0,0.0,56.92,3.02,50.36,0.28,133.16,0.24,0.76,0.32,132.93,0.18,132.95,0.17,0.12,0.12,0.11,230112.81,2068.99,0.0,0.0,0.08,0.07,0.13,22.97,8.94,-0.46,0.29,-2.94,-0.97,0.62,0.0,-0.4,0.25,-2.93,-0.97,0.61,0.0
Long Lose 50%,Long,Lose,50%,0.0,137.16,3.0,212.0,18.0,217.0,-10.42,-0.19,0.44,0.52,6.0,0.0,0.0,1.0,1.0,6.0,4.0,20.24,1.5,3.0,5.0,0.0,-11.22,1.17,-13.2,0.0,-0.19,0.04,-0.2,1.0,6.0,2.5,6.0,0.08,-0.04,0.05,0.05,1.48,-0.84,-0.02,0.03,-0.86,2.1,-3.07,2.0,4.0,0.0,0.09,0.04,-0.14,0.03,-0.14,0.08,-0.15,2.0,5.5,2.0,4.0,136.94,0.22,0.23,0.66,0.34,0.66,0.0,0.0,0.66,1.52,0.05,0.06,1.22,1.01,1.0,3.5,21.5,0.15,1.34,-0.0,10.0,303526.0,2510.5,0.07,0.04,0.01,0.01,61.21,3.76,59.88,3.51,136.89,0.87,0.96,1.04,136.73,0.22,136.73,0.21,0.16,0.15,0.13,281274.13,2345.79,0.0,0.0,0.1,0.08,0.15,28.51,16.91,-0.39,0.33,-2.81,-0.87,0.7,0.0,-0.34,0.29,-2.84,-0.88,0.69,0.0
Long Lose 75%,Long,Lose,75%,0.0,143.28,4.0,217.0,33.75,221.0,-4.11,-0.13,1.02,1.17,8.0,1.0,25.0,1.75,3.0,8.0,6.0,44.02,5.0,7.0,9.0,2.18,-4.23,5.32,-4.72,0.04,-0.13,0.07,-0.15,4.0,9.0,5.0,8.0,0.11,0.0,0.08,0.06,2.03,0.11,0.0,0.04,0.39,3.07,-2.52,4.0,7.0,0.04,0.16,0.08,-0.09,0.1,-0.09,0.13,-0.12,5.0,8.75,4.75,6.75,143.21,0.3,0.29,0.82,0.49,0.77,0.0,0.0,0.77,2.01,0.11,0.12,1.37,1.07,3.0,12.5,43.75,0.34,1.76,-0.0,15.0,494935.5,3745.5,0.1,0.08,0.02,0.01,64.74,5.16,71.63,6.66,143.09,1.24,1.26,1.35,142.7,0.3,142.72,0.29,0.21,0.19,0.19,365120.76,2781.8,0.0,0.0,0.12,0.1,0.19,39.01,22.49,-0.26,0.38,-2.67,-0.7,0.79,0.0,-0.24,0.34,-2.63,-0.67,0.76,0.0
Long Lose max,Long,Lose,max,2.0,152.09,8.0,243.0,91.0,243.0,-0.03,-0.0,2.54,2.79,15.0,9.0,80.0,10.0,9.0,15.0,11.0,100.0,11.0,12.0,13.0,26.69,-0.12,34.53,-0.2,0.33,-0.04,0.43,-0.05,10.0,15.0,11.0,15.0,0.29,0.1,0.21,0.17,4.77,2.24,0.08,0.12,1.49,8.01,-0.71,10.0,15.0,0.26,0.49,0.33,0.06,0.45,0.0,0.57,-0.07,11.0,15.0,11.0,15.0,152.08,0.62,0.61,0.92,0.8,1.0,0.0,0.0,1.0,4.0,0.44,0.44,3.12,1.23,70.0,74.0,255.0,0.79,2.86,0.0,26.0,2345383.0,21193.0,0.31,0.25,0.08,0.02,82.48,8.89,89.58,14.58,150.43,4.41,3.77,1.92,151.78,0.83,151.79,0.81,0.53,0.39,0.36,1006595.99,7962.64,0.0,0.0,0.27,0.27,0.38,60.46,49.86,0.02,0.47,-1.2,0.01,0.91,0.0,0.08,0.38,-0.88,0.28,0.88,0.0
Short Win mean,Short,Win,mean,2.12,129.1,6.38,60.94,46.25,228.81,34.79,0.12,2.38,2.7,17.5,14.62,85.22,1.33,2.19,6.08,17.5,95.42,6.06,18.0,19.38,70.01,-8.91,83.49,-27.0,0.3,-0.06,0.34,-0.15,16.31,6.19,15.5,8.75,0.14,0.09,0.08,0.1,2.2,0.75,0.17,0.13,1.13,3.23,-1.28,7.69,11.38,0.25,0.32,0.08,0.4,0.79,-0.07,0.87,-0.19,16.38,3.75,16.0,3.62,129.42,0.36,0.36,0.65,0.35,0.71,0.0,0.0,0.71,1.52,0.15,0.15,1.23,1.01,7.12,12.5,39.38,0.25,1.41,-0.0,14.31,648479.25,6552.94,0.1,0.05,0.03,0.01,39.05,5.05,34.41,6.12,131.38,1.96,2.0,0.71,129.74,0.32,129.73,0.31,0.27,0.22,0.21,572145.12,5699.13,-0.0,0.0,0.13,0.12,0.23,29.73,19.97,-0.29,0.28,-2.87,-0.77,0.64,0.0,-0.32,0.31,-2.84,-0.79,0.65,0.0
Short Win std,Short,Win,std,0.72,9.47,1.71,49.02,41.55,16.1,41.11,0.14,0.18,0.13,8.03,6.76,14.28,0.65,1.8,4.89,8.03,10.52,4.11,8.21,7.88,64.5,12.21,77.68,32.93,0.28,0.07,0.3,0.12,8.24,5.31,9.14,5.63,0.08,0.13,0.05,0.12,1.24,1.3,0.16,0.08,0.47,0.38,1.05,7.12,5.61,0.3,0.21,0.06,0.56,0.62,0.07,0.67,0.1,8.2,3.89,8.98,3.93,9.25,0.18,0.18,0.19,0.19,0.19,0.0,0.0,0.19,0.51,0.11,0.11,0.34,0.11,12.22,12.39,51.68,0.16,0.52,0.0,4.64,446614.12,4907.68,0.07,0.06,0.03,0.01,4.87,1.84,13.42,3.26,7.95,1.88,1.16,0.77,9.19,0.14,9.19,0.13,0.13,0.1,0.1,444167.61,4677.15,0.0,0.0,0.06,0.06,0.11,8.57,10.76,0.08,0.08,0.14,0.17,0.11,0.0,0.11,0.06,0.17,0.16,0.12,0.0
Short Win min,Short,Win,min,0.0,117.09,3.0,42.0,3.0,210.0,1.58,0.01,2.17,2.55,5.0,5.0,55.0,1.0,1.0,1.0,5.0,64.68,1.0,6.0,8.0,11.05,-46.82,14.06,-137.53,0.04,-0.21,0.05,-0.47,4.0,0.0,4.0,2.0,0.02,-0.1,0.03,0.02,0.18,-2.52,0.0,0.02,0.13,2.64,-3.22,1.0,3.0,-0.02,0.08,-0.0,-0.2,0.06,-0.2,0.11,-0.43,4.0,0.0,4.0,0.0,117.76,0.14,0.14,0.22,0.11,0.35,-0.0,-0.0,0.35,1.03,0.0,0.0,0.66,0.84,1.0,1.0,2.0,0.06,0.56,-0.01,5.0,127173.0,1393.0,0.0,-0.1,-0.0,-0.01,30.86,1.84,15.52,0.91,122.05,-0.59,0.73,-0.81,117.99,0.12,117.99,0.12,0.12,0.1,0.08,175875.65,1462.65,-0.0,0.0,0.04,0.04,0.09,16.29,-2.52,-0.41,0.17,-2.99,-1.0,0.4,0.0,-0.47,0.2,-2.99,-1.0,0.41,0.0
Short Win 25%,Short,Win,25%,2.0,118.88,6.0,43.0,9.5,212.75,8.69,0.03,2.2,2.57,11.75,8.75,80.68,1.0,1.0,3.0,11.75,100.0,3.0,11.75,12.75,31.01,-10.64,37.81,-24.02,0.11,-0.08,0.13,-0.16,9.0,3.0,8.5,4.0,0.09,-0.01,0.05,0.03,1.67,-0.21,0.06,0.08,0.76,3.05,-1.89,2.75,6.75,0.06,0.18,0.04,0.04,0.35,-0.1,0.4,-0.24,9.0,0.0,8.75,0.0,119.33,0.23,0.23,0.54,0.2,0.61,-0.0,-0.0,0.61,1.18,0.07,0.08,1.02,0.98,1.0,3.5,14.25,0.1,1.08,-0.0,12.5,286860.5,2856.25,0.05,0.03,0.01,0.0,35.39,3.39,24.47,4.55,123.27,0.51,1.02,0.41,119.75,0.2,119.76,0.2,0.17,0.14,0.13,225179.89,2050.13,-0.0,0.0,0.09,0.09,0.14,22.74,13.19,-0.35,0.22,-2.95,-0.89,0.61,0.0,-0.39,0.28,-2.95,-0.91,0.61,0.0
Short Win 50%,Short,Win,50%,2.0,131.79,6.0,47.0,39.5,223.0,23.47,0.08,2.31,2.65,16.5,15.5,86.93,1.0,2.0,4.5,16.5,100.0,5.0,16.5,18.0,48.03,-5.16,57.87,-19.3,0.21,-0.04,0.26,-0.1,16.5,4.0,13.0,6.5,0.12,0.05,0.06,0.05,2.05,1.17,0.14,0.14,1.2,3.22,-1.26,5.0,12.0,0.15,0.29,0.07,0.19,0.7,-0.06,0.8,-0.16,16.5,3.0,14.5,2.5,131.85,0.31,0.32,0.69,0.31,0.75,-0.0,-0.0,0.75,1.33,0.12,0.13,1.12,1.0,2.0,7.0,20.5,0.19,1.24,-0.0,14.0,366505.5,3516.5,0.08,0.05,0.02,0.01,39.29,5.52,32.35,6.07,132.14,1.63,1.7,1.02,132.05,0.29,132.05,0.28,0.24,0.19,0.18,323023.94,3030.9,-0.0,0.0,0.12,0.12,0.19,28.23,22.8,-0.31,0.28,-2.9,-0.82,0.65,0.0,-0.35,0.32,-2.9,-0.8,0.68,0.0
Short Win 75%,Short,Win,75%,2.25,137.66,7.0,50.0,60.5,245.75,40.17,0.14,2.58,2.83,22.5,19.25,95.59,1.25,2.0,7.0,22.5,100.0,7.0,23.5,25.25,88.46,-0.04,94.36,-9.37,0.33,-0.0,0.4,-0.08,21.5,8.5,22.5,13.25,0.16,0.19,0.08,0.14,2.46,1.61,0.21,0.17,1.49,3.3,-0.83,9.0,14.75,0.35,0.4,0.11,0.63,0.9,0.0,0.98,-0.13,21.5,5.5,22.5,6.0,137.68,0.42,0.42,0.8,0.46,0.85,0.0,0.0,0.85,1.64,0.25,0.25,1.45,1.06,3.25,17.25,33.5,0.41,1.78,0.0,17.0,1130921.25,11843.75,0.14,0.07,0.04,0.01,42.33,6.27,42.82,7.89,137.18,3.94,3.23,1.29,137.92,0.42,137.91,0.41,0.39,0.32,0.29,1005788.16,10311.07,-0.0,0.0,0.15,0.15,0.34,36.42,26.7,-0.22,0.34,-2.88,-0.63,0.72,0.0,-0.23,0.35,-2.85,-0.65,0.73,0.0
