Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Short Win 75%,Short,Win,75%,2.0,19.46,7.0,39.5,27.0,127.5,8.96,0.49,1.35,1.11,30.25,27.25,94.34,2.0,5.75,11.75,30.25,100.0,9.25,30.25,31.25,13.25,-0.87,15.06,-1.39,0.63,-0.06,0.67,-0.2,25.75,5.25,28.25,8.25,0.3,0.26,0.18,0.17,2.27,1.46,0.5,0.39,1.48,3.49,0.21,9.0,16.25,0.44,0.71,0.16,1.58,2.07,0.0,2.27,-0.21,25.75,1.25,27.25,2.25,19.52,0.09,0.09,0.77,0.51,0.79,0.0,0.0,0.79,1.51,0.07,0.07,1.3,1.16,6.75,27.75,57.0,0.21,1.82,-0.0,13.0,91945.0,491.75,0.03,0.02,0.01,0.0,44.32,6.16,55.56,8.04,19.26,0.22,0.42,1.17,19.59,0.1,19.59,0.1,0.09,0.05,0.05,69661.7,345.29,-0.0,0.0,0.04,0.03,0.05,35.16,19.51,-0.26,0.45,-1.84,-0.77,0.9,0.01,-0.23,0.46,-1.97,-0.79,0.93,0.01
Short Win max,Short,Win,max,4.0,20.46,10.0,208.0,108.0,269.0,48.42,0.96,2.87,2.35,58.0,49.0,100.0,4.0,10.0,18.0,58.0,100.0,18.0,59.0,59.0,73.39,0.0,77.55,-0.73,1.45,0.0,1.53,-0.1,53.0,17.0,54.0,12.0,0.49,0.46,0.28,0.33,4.95,2.67,0.87,0.58,1.66,5.88,0.63,20.0,42.0,0.68,1.29,0.7,2.64,3.38,0.0,3.41,-0.14,53.0,5.0,54.0,6.0,20.56,0.12,0.12,0.85,0.79,0.95,-0.0,-0.0,0.95,2.62,0.16,0.16,3.73,1.72,56.0,122.0,115.0,0.77,2.65,-0.0,17.0,288332.0,1237.0,0.06,0.06,0.01,0.01,60.46,15.16,73.47,19.91,20.55,0.57,0.69,1.8,20.7,0.2,20.7,0.2,0.18,0.07,0.07,142735.21,754.26,-0.0,0.0,0.05,0.04,0.07,55.14,48.63,-0.05,0.48,-0.34,0.61,0.95,0.02,-0.01,0.48,-0.15,0.64,0.95,0.02
Short Lose mean,Short,Lose,mean,0.27,18.07,3.46,88.65,13.38,94.31,-2.71,-0.46,0.4,0.33,5.71,0.98,10.69,1.19,3.11,5.71,5.67,40.11,3.73,5.12,7.0,0.37,-2.77,0.67,-2.93,0.04,-0.47,0.08,-0.5,3.27,6.58,3.37,6.98,0.2,-0.11,0.12,0.1,1.9,-1.02,-0.0,0.06,-0.9,1.5,-3.46,3.71,5.48,0.1,0.23,0.11,-0.24,0.18,-0.28,0.26,-0.37,3.15,5.08,3.06,3.5,18.1,0.07,0.07,0.65,0.35,0.66,-0.01,-0.0,0.66,1.83,0.03,0.03,1.17,1.04,8.54,17.77,39.73,0.23,1.41,-0.0,12.81,56794.83,294.21,0.02,0.01,0.0,0.0,41.11,4.68,41.71,4.67,18.32,0.22,0.25,0.88,18.16,0.06,18.16,0.06,0.05,0.04,0.04,46272.48,248.62,-0.0,0.0,0.03,0.02,0.04,31.18,15.61,-0.3,0.41,-2.12,-0.8,0.88,0.01,-0.32,0.44,-2.1,-0.88,0.89,0.01
Short Lose std,Short,Lose,std,0.69,1.04,1.73,33.36,12.7,30.41,2.88,0.19,0.41,0.33,5.42,2.08,18.5,0.56,4.39,5.42,7.62,34.3,4.18,5.48,5.44,1.28,2.88,1.94,2.99,0.08,0.17,0.13,0.18,4.72,3.93,4.39,4.95,0.11,0.16,0.06,0.05,0.92,1.57,0.08,0.04,1.8,2.74,1.92,3.84,3.74,0.15,0.34,0.12,0.26,0.24,0.19,0.26,0.18,4.58,3.57,4.36,3.36,1.04,0.01,0.01,0.17,0.17,0.23,0.02,0.0,0.23,1.16,0.03,0.03,0.65,0.15,12.24,22.41,37.3,0.14,0.68,0.0,6.19,42541.84,173.49,0.02,0.02,0.0,0.0,9.47,2.74,17.94,5.58,0.94,0.26,0.11,0.79,1.04,0.05,1.04,0.05,0.03,0.01,0.01,15558.86,77.94,0.0,0.0,0.01,0.01,0.01,13.14,16.26,0.12,0.06,1.3,0.32,0.06,0.0,0.16,0.02,1.35,0.19,0.06,0.01
Short Lose min,Short,Lose,min,0.0,16.64,2.0,13.0,1.0,48.0,-15.7,-1.12,0.01,0.01,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.0,1.0,2.0,0.0,-15.7,0.0,-15.7,0.0,-1.12,0.0,-1.27,0.0,1.0,0.0,1.0,-0.05,-0.42,0.03,0.0,-0.35,-3.56,-0.17,0.01,-5.66,-5.66,-8.58,1.0,1.0,-0.02,-0.35,-0.06,-0.89,0.0,-0.89,0.0,-1.12,0.0,0.0,0.0,0.0,16.66,0.05,0.05,0.31,0.09,0.13,-0.12,-0.03,0.13,1.0,0.0,0.0,0.27,0.72,1.0,1.0,3.0,0.03,0.45,-0.0,3.0,7564.0,80.0,-0.03,-0.02,-0.01,-0.0,6.32,-2.48,0.01,-12.26,16.91,-0.5,0.1,-0.98,16.68,-0.05,16.68,-0.05,0.02,0.03,0.03,20353.65,119.69,-0.01,0.0,0.01,0.01,0.03,14.36,-25.79,-0.46,0.29,-2.96,-1.0,0.72,0.0,-0.6,0.39,-2.97,-1.0,0.73,0.0
Short Lose 25%,Short,Lose,25%,0.0,17.07,2.0,70.0,4.0,73.25,-3.35,-0.56,0.12,0.1,2.0,0.0,0.0,1.0,1.0,2.0,2.0,11.49,1.0,1.75,4.0,0.0,-3.44,0.0,-3.6,0.0,-0.56,0.0,-0.61,0.0,3.0,0.0,3.0,0.12,-0.23,0.07,0.07,1.29,-2.32,-0.05,0.03,-1.92,-0.09,-4.22,1.0,2.0,0.0,0.03,0.03,-0.38,0.0,-0.38,0.08,-0.47,0.0,3.0,0.0,0.0,17.08,0.06,0.06,0.56,0.21,0.5,-0.0,-0.0,0.5,1.2,0.01,0.01,0.81,0.94,1.0,2.0,12.0,0.11,0.91,-0.0,9.0,32248.75,172.5,0.01,-0.0,-0.0,0.0,35.88,3.22,30.65,1.68,17.62,0.08,0.17,0.57,17.25,0.03,17.25,0.03,0.04,0.04,0.04,35087.63,191.25,-0.0,0.0,0.02,0.02,0.04,23.64,4.79,-0.39,0.39,-2.86,-1.0,0.84,0.0,-0.46,0.43,-2.86,-1.0,0.86,0.0
Short Lose 50%,Short,Lose,50%,0.0,18.04,3.0,91.0,9.0,91.5,-1.72,-0.49,0.27,0.22,5.0,0.0,0.0,1.0,2.0,5.0,3.0,27.94,3.0,3.5,6.0,0.0,-1.84,0.0,-2.06,0.0,-0.49,0.0,-0.49,2.0,6.0,2.0,5.5,0.18,-0.12,0.11,0.1,1.88,-1.2,-0.02,0.06,-0.39,2.0,-3.33,2.0,5.0,0.01,0.22,0.08,-0.27,0.09,-0.28,0.18,-0.33,2.0,4.0,2.0,3.0,18.05,0.07,0.07,0.66,0.34,0.67,-0.0,-0.0,0.67,1.48,0.02,0.02,1.01,1.01,2.5,8.0,28.0,0.2,1.15,-0.0,11.0,45563.0,249.5,0.01,0.01,0.0,0.0,41.24,4.41,42.49,5.07,18.25,0.18,0.22,1.01,18.12,0.07,18.12,0.06,0.04,0.04,0.04,44457.33,226.36,-0.0,0.0,0.03,0.02,0.04,27.71,18.22,-0.32,0.43,-2.77,-0.95,0.89,0.0,-0.34,0.45,-2.78,-1.0,0.9,0.01
Short Lose 75%,Short,Lose,75%,0.0,18.42,4.0,114.25,18.5,114.25,-0.97,-0.34,0.58,0.48,7.0,1.0,17.05,1.0,2.0,7.0,5.0,61.46,5.0,6.0,8.0,0.06,-0.97,0.44,-1.05,0.03,-0.34,0.12,-0.36,4.25,9.0,4.25,9.0,0.27,0.02,0.15,0.12,2.31,0.18,0.03,0.08,0.42,3.35,-2.27,4.0,7.0,0.1,0.32,0.15,-0.12,0.26,-0.12,0.34,-0.25,4.0,7.0,4.0,5.25,18.48,0.08,0.08,0.79,0.44,0.83,0.0,0.0,0.83,2.0,0.04,0.05,1.29,1.13,11.0,26.0,52.25,0.32,1.91,0.0,15.0,67356.5,355.0,0.02,0.02,0.01,0.0,45.23,6.11,54.78,8.5,18.83,0.4,0.32,1.3,18.56,0.09,18.56,0.09,0.07,0.05,0.04,54634.2,292.4,-0.0,0.0,0.03,0.03,0.05,37.35,26.69,-0.23,0.45,-1.95,-0.72,0.91,0.01,-0.19,0.46,-2.12,-0.81,0.94,0.01
Short Lose max,Short,Lose,max,4.0,20.25,9.0,158.0,48.0,176.0,-0.05,-0.0,1.89,1.52,33.0,11.0,77.78,4.0,19.0,33.0,32.0,100.0,20.0,32.0,34.0,8.36,-0.08,12.53,-0.08,0.35,-0.09,0.53,-0.15,27.0,16.0,22.0,23.0,0.48,0.19,0.27,0.32,4.67,2.63,0.31,0.21,1.82,5.72,0.48,20.0,16.0,0.54,1.84,0.51,0.55,0.96,0.0,1.21,-0.11,25.0,14.0,25.0,14.0,20.27,0.1,0.1,0.91,0.69,1.0,-0.0,-0.0,1.0,7.84,0.13,0.13,4.02,1.52,45.0,106.0,164.0,0.6,3.03,0.0,35.0,230828.0,1078.0,0.12,0.1,0.01,0.01,64.97,11.09,78.78,17.81,20.21,0.84,0.69,2.06,20.36,0.31,20.36,0.3,0.15,0.06,0.06,87854.75,443.5,-0.0,0.0,0.05,0.04,0.06,86.2,58.36,0.02,0.49,2.69,0.56,0.98,0.02,0.06,0.49,2.65,-0.12,0.99,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
