Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Short Win std,Short,Win,std,0.79,34.78,1.21,6.79,4.49,9.3,22.87,0.16,0.1,0.27,9.82,8.53,20.12,0.26,4.1,6.81,9.82,5.66,3.86,9.43,9.69,26.18,11.16,27.66,12.87,0.19,0.05,0.19,0.05,9.2,6.08,9.29,4.99,0.05,0.08,0.03,0.03,0.65,1.46,0.07,0.04,0.47,1.75,2.03,3.45,9.3,0.07,0.11,0.08,0.26,0.27,0.04,0.26,0.05,9.53,2.96,8.59,2.68,34.65,0.36,0.35,0.18,0.18,0.23,0.01,0.0,0.23,1.03,0.44,0.47,0.66,0.14,2.98,12.35,24.52,0.23,0.62,0.01,7.01,17275.9,335.81,0.3,0.26,0.07,0.02,8.48,2.05,16.5,3.95,34.91,4.13,3.16,0.82,34.72,0.73,34.73,0.7,0.5,0.22,0.21,8401.66,175.62,0.0,0.0,0.19,0.17,0.21,11.61,13.06,0.14,0.05,0.21,0.24,0.15,0.0,0.16,0.05,0.21,0.29,0.13,0.0
Short Win min,Short,Win,min,1.0,595.6,4.0,5.0,1.0,20.0,0.59,0.0,0.21,0.51,7.0,6.0,20.0,1.0,1.0,1.0,7.0,76.67,3.0,8.0,8.0,7.06,-35.98,7.76,-48.34,0.04,-0.17,0.05,-0.19,6.0,0.0,5.0,1.0,0.03,-0.05,0.03,0.02,0.39,-1.25,0.03,0.03,0.47,2.16,-5.44,1.0,1.0,-0.02,0.05,-0.02,0.0,0.16,-0.11,0.19,-0.23,6.0,0.0,7.0,0.0,596.5,0.45,0.49,0.37,0.08,0.19,-0.02,-0.0,0.19,1.07,0.0,0.0,0.38,0.89,1.0,1.0,3.0,0.08,0.29,-0.02,4.0,4658.0,254.0,-0.04,-0.08,-0.06,-0.0,23.88,1.77,18.53,-2.19,596.81,-7.08,2.11,-1.23,596.73,0.23,596.69,0.19,0.27,0.36,0.27,8978.18,325.12,-0.0,0.0,0.18,0.14,0.28,17.13,-0.08,-0.44,0.06,-2.98,-0.97,0.06,0.0,-0.48,0.07,-2.98,-1.0,0.09,0.0
Short Win 25%,Short,Win,25%,2.0,617.94,6.0,8.0,1.0,26.0,5.75,0.04,0.25,0.62,13.0,8.0,73.33,1.0,2.0,2.5,13.0,100.0,4.0,14.0,15.0,13.54,-7.17,16.09,-17.51,0.06,-0.12,0.12,-0.13,12.0,1.0,9.0,3.0,0.05,0.04,0.04,0.04,1.03,0.76,0.06,0.05,1.15,2.66,-1.83,2.0,4.0,0.06,0.14,0.01,0.1,0.25,-0.06,0.34,-0.14,11.0,0.0,12.0,0.0,619.04,0.65,0.65,0.48,0.18,0.47,0.0,0.0,0.47,1.29,0.15,0.24,0.82,0.98,1.0,1.0,9.0,0.16,0.86,-0.01,7.0,17170.0,486.0,0.09,0.03,-0.01,0.02,31.9,2.37,30.7,0.35,615.04,-5.16,3.33,-0.78,619.65,0.61,619.62,0.58,0.56,0.45,0.4,13087.94,408.67,-0.0,0.0,0.28,0.21,0.45,23.1,12.72,-0.37,0.1,-2.94,-0.88,0.19,0.0,-0.41,0.11,-2.94,-0.93,0.23,0.0
Short Win 50%,Short,Win,50%,2.0,630.21,6.0,9.0,5.0,38.0,17.55,0.07,0.39,1.05,17.0,13.0,80.0,1.0,2.0,4.0,17.0,100.0,6.0,18.0,18.0,31.53,-4.97,36.41,-6.77,0.12,-0.06,0.16,-0.09,14.0,4.0,15.0,4.0,0.07,0.05,0.05,0.04,1.54,1.4,0.1,0.08,1.41,3.13,-0.62,3.0,8.0,0.1,0.2,0.03,0.16,0.36,-0.01,0.42,-0.12,14.0,1.0,15.0,1.0,630.8,1.02,1.02,0.68,0.32,0.52,0.0,0.0,0.52,1.91,0.45,0.45,1.28,1.02,1.0,2.0,12.0,0.29,1.2,-0.0,10.0,28468.0,755.0,0.25,0.11,0.05,0.03,37.13,4.89,40.26,3.07,627.6,-2.04,4.19,-0.54,631.31,0.96,631.28,0.9,0.84,0.68,0.61,19643.58,529.66,-0.0,0.0,0.4,0.33,0.62,29.36,25.45,-0.23,0.13,-2.85,-0.64,0.24,0.0,-0.25,0.14,-2.88,-0.68,0.28,0.0
Short Win 75%,Short,Win,75%,2.0,678.46,7.0,10.0,7.0,42.0,35.67,0.13,0.44,1.15,30.0,22.0,88.24,1.0,5.0,9.5,30.0,100.0,7.0,29.0,31.0,52.11,-3.08,57.02,-5.11,0.2,-0.03,0.28,-0.07,28.0,7.0,25.0,8.0,0.11,0.09,0.08,0.08,2.17,2.05,0.15,0.11,1.54,5.7,-0.06,5.0,14.0,0.16,0.27,0.06,0.39,0.66,0.0,0.7,-0.08,28.0,3.0,25.0,2.0,678.87,1.17,1.17,0.82,0.52,0.78,0.0,0.0,0.78,2.11,0.64,0.67,1.69,1.18,2.0,13.0,27.0,0.31,1.74,-0.0,14.0,33029.0,829.0,0.47,0.4,0.08,0.04,46.28,6.46,52.25,7.79,672.21,0.89,5.64,0.27,680.05,1.65,680.03,1.57,1.08,0.76,0.72,24226.99,681.62,-0.0,0.0,0.58,0.42,0.75,41.24,35.46,-0.12,0.14,-2.68,-0.42,0.43,0.0,-0.21,0.17,-2.69,-0.48,0.38,0.0
Short Win max,Short,Win,max,4.0,698.41,9.0,33.0,16.0,47.0,82.8,0.69,0.49,1.21,38.0,32.0,100.0,2.0,18.0,26.0,38.0,100.0,19.0,38.0,40.0,97.76,0.0,100.99,-3.15,0.82,0.0,0.85,-0.02,34.0,25.0,34.0,22.0,0.2,0.23,0.1,0.11,2.47,5.23,0.27,0.19,2.59,7.43,0.75,13.0,32.0,0.23,0.45,0.3,1.01,1.11,0.0,1.15,-0.04,36.0,10.0,34.0,10.0,698.42,1.65,1.65,0.92,0.63,0.93,-0.0,-0.0,0.93,5.21,1.65,1.65,2.61,1.35,13.0,39.0,82.0,0.9,2.41,0.0,28.0,62211.0,1389.0,0.98,0.87,0.21,0.06,48.64,7.68,81.29,9.31,699.31,7.79,12.88,1.58,699.77,2.36,699.75,2.32,2.07,1.08,0.95,36743.63,905.11,-0.0,0.0,0.8,0.8,1.08,55.56,40.88,-0.0,0.24,-2.28,-0.2,0.62,0.0,0.02,0.23,-2.2,-0.06,0.6,0.0
Short Lose mean,Short,Lose,mean,0.17,625.55,3.18,30.11,4.3,31.62,-12.3,-0.17,0.12,0.3,5.72,0.72,10.49,1.31,2.33,5.72,4.26,35.44,3.14,4.79,6.62,1.38,-12.68,3.59,-13.48,0.02,-0.18,0.05,-0.18,2.62,6.49,3.75,6.48,0.07,-0.04,0.05,0.04,1.87,-0.96,-0.0,0.03,-0.67,1.69,-3.06,3.16,5.59,0.04,0.08,0.06,-0.09,0.07,-0.11,0.11,-0.15,2.93,5.03,3.0,4.3,625.94,0.98,0.98,0.65,0.35,0.7,-0.01,-0.0,0.7,2.35,0.42,0.46,1.15,1.02,6.86,13.77,50.23,0.23,1.42,-0.0,12.75,20748.8,556.96,0.16,0.11,0.01,0.02,42.54,4.6,46.3,3.28,626.27,0.33,4.58,0.07,626.73,0.79,626.7,0.76,0.77,0.62,0.56,17971.92,489.67,-0.0,0.0,0.36,0.31,0.62,32.41,15.82,-0.25,0.15,-2.69,-0.68,0.34,0.0,-0.26,0.16,-2.68,-0.68,0.37,0.0
Short Lose std,Short,Lose,std,0.45,26.76,1.36,10.05,4.09,9.64,13.69,0.07,0.12,0.31,4.12,1.24,16.73,0.69,1.86,4.12,4.07,30.04,3.36,4.17,4.2,3.85,13.66,6.64,15.33,0.05,0.07,0.06,0.07,3.44,4.06,3.5,4.04,0.05,0.08,0.03,0.03,1.28,2.5,0.03,0.02,1.49,2.09,1.58,2.3,4.14,0.07,0.1,0.08,0.09,0.09,0.07,0.1,0.07,3.67,3.6,3.58,3.75,26.86,0.39,0.38,0.18,0.18,0.24,0.01,0.01,0.24,4.29,0.32,0.32,0.48,0.14,10.21,16.47,59.55,0.18,0.66,0.01,7.59,13256.08,256.4,0.29,0.26,0.07,0.03,9.42,2.89,17.65,4.68,26.82,3.28,3.07,0.68,26.86,0.74,26.86,0.72,0.35,0.21,0.2,8763.83,176.61,0.0,0.0,0.16,0.13,0.22,11.7,15.81,0.13,0.06,0.47,0.28,0.15,0.0,0.14,0.05,0.48,0.29,0.15,0.0
Short Lose min,Short,Lose,min,0.0,589.18,2.0,10.0,1.0,16.0,-54.05,-0.33,0.01,0.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.27,0.0,1.0,2.0,0.0,-54.05,0.0,-69.5,0.0,-0.33,0.0,-0.37,0.0,1.0,0.0,1.0,-0.08,-0.2,0.01,0.0,-1.1,-16.05,-0.07,0.0,-5.22,-5.22,-8.04,1.0,1.0,-0.0,-0.13,-0.04,-0.3,0.0,-0.3,0.0,-0.36,0.0,0.0,0.0,0.0,589.87,0.51,0.51,0.24,0.09,0.03,-0.07,-0.04,0.03,1.0,0.0,0.0,0.34,0.79,1.0,1.0,2.0,0.03,0.33,-0.02,4.0,4036.0,216.0,-0.96,-0.75,-0.19,-0.05,13.01,-4.05,9.46,-6.83,596.39,-7.56,1.52,-0.98,591.2,-1.99,591.16,-1.91,0.17,0.32,0.29,8094.48,287.51,-0.0,0.0,0.12,0.12,0.31,15.94,-32.91,-0.54,0.03,-2.98,-1.0,0.06,0.0,-0.54,0.04,-2.99,-1.0,0.1,0.0
Short Lose 25%,Short,Lose,25%,0.0,611.49,2.0,21.5,1.0,23.0,-15.08,-0.22,0.03,0.08,3.0,0.0,0.0,1.0,1.0,3.0,1.0,9.24,0.0,1.5,3.0,0.0,-16.18,0.03,-15.23,0.0,-0.22,0.0,-0.22,0.0,3.0,1.0,3.0,0.05,-0.09,0.02,0.02,1.39,-1.84,-0.02,0.01,-1.5,0.89,-3.84,1.0,2.0,0.0,0.03,0.01,-0.14,0.0,-0.14,0.04,-0.18,0.0,2.0,0.0,1.5,612.15,0.69,0.69,0.48,0.21,0.58,-0.0,-0.0,0.58,1.14,0.14,0.21,0.8,0.91,1.0,1.5,11.5,0.1,0.92,-0.01,7.5,10956.0,395.0,0.03,-0.02,-0.04,0.01,37.43,2.87,34.3,-0.33,612.19,-1.6,2.32,-0.5,613.09,0.41,613.0,0.38,0.52,0.47,0.42,11366.1,359.24,-0.0,0.0,0.24,0.21,0.45,23.78,4.9,-0.33,0.12,-2.95,-0.9,0.23,0.0,-0.35,0.13,-2.95,-0.89,0.27,0.0
