Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Long Lose 25%,Long,Lose,25%,0.0,229.6,2.0,74.0,5.0,80.5,-15.0,-0.12,0.16,0.24,3.0,0.0,0.0,1.0,1.0,3.0,2.0,15.68,1.0,2.0,5.0,0.0,-15.0,0.17,-16.55,0.0,-0.12,0.01,-0.13,1.0,4.25,2.0,4.25,0.03,-0.07,0.02,0.01,1.29,-2.26,-0.01,0.01,-1.32,1.31,-3.89,2.0,3.25,0.0,0.01,0.01,-0.09,0.01,-0.1,0.03,-0.12,1.0,3.0,1.0,1.25,229.59,0.16,0.16,0.54,0.21,0.54,-0.0,0.0,0.54,1.2,0.03,0.03,0.83,0.92,1.0,2.0,11.25,0.12,0.94,-0.0,7.25,37912.0,669.5,0.01,-0.01,-0.0,0.0,53.45,3.09,47.9,-0.37,227.33,-0.48,0.79,-0.53,229.35,0.09,229.36,0.1,0.1,0.1,0.09,41052.3,719.53,0.0,0.0,0.06,0.05,0.1,26.46,0.99,-0.41,0.31,-2.93,-0.89,0.66,0.0,-0.34,0.29,-2.95,-0.87,0.64,0.0
Long Lose 50%,Long,Lose,50%,0.0,237.5,3.0,106.0,11.0,116.0,-6.85,-0.09,0.33,0.47,5.5,0.5,3.57,1.0,2.0,5.5,3.0,29.82,4.0,4.0,7.0,0.01,-6.85,0.81,-6.97,0.0,-0.09,0.03,-0.1,3.0,7.0,4.0,7.0,0.04,-0.03,0.02,0.02,1.72,-1.46,-0.0,0.01,-0.2,2.26,-3.07,3.0,6.0,0.01,0.05,0.02,-0.05,0.03,-0.06,0.05,-0.08,3.0,6.0,3.0,4.0,237.48,0.21,0.21,0.69,0.31,0.7,0.0,0.0,0.7,1.43,0.08,0.09,1.0,0.98,2.0,7.0,19.0,0.2,1.39,-0.0,10.0,59335.5,889.5,0.04,0.02,0.0,0.0,58.9,4.35,57.95,3.84,236.5,0.23,0.94,0.26,237.22,0.19,237.23,0.18,0.16,0.12,0.12,59346.44,823.91,0.0,0.0,0.07,0.07,0.13,33.32,13.01,-0.21,0.35,-2.83,-0.68,0.72,0.0,-0.19,0.33,-2.89,-0.68,0.73,0.0
Long Lose 75%,Long,Lose,75%,1.0,239.93,4.0,124.0,23.5,128.0,-2.79,-0.06,0.83,1.18,8.75,2.0,28.57,1.0,3.0,8.75,5.5,71.7,6.0,7.0,9.0,1.57,-2.94,3.28,-3.16,0.03,-0.06,0.04,-0.07,6.0,10.75,6.75,9.0,0.06,0.0,0.04,0.03,2.2,0.35,0.01,0.02,0.66,3.51,-1.87,6.0,9.0,0.03,0.09,0.05,-0.03,0.05,-0.03,0.07,-0.06,5.75,9.0,5.0,6.75,239.88,0.26,0.26,0.79,0.46,0.84,0.0,0.0,0.84,1.84,0.13,0.14,1.2,1.09,10.5,19.75,32.5,0.3,1.76,-0.0,13.0,90753.0,1197.25,0.07,0.06,0.02,0.01,63.58,6.15,70.02,6.78,238.75,0.77,1.39,0.78,239.55,0.25,239.57,0.24,0.22,0.17,0.15,75013.96,1044.57,0.0,0.0,0.11,0.08,0.16,38.54,22.0,-0.15,0.38,-2.72,-0.49,0.79,0.0,-0.11,0.37,-2.76,-0.44,0.77,0.0
Long Lose max,Long,Lose,max,2.0,245.18,7.0,135.0,67.0,135.0,-0.17,-0.01,1.39,1.93,17.0,9.0,83.33,6.0,6.0,17.0,13.0,100.0,22.0,15.0,18.0,10.86,-0.17,22.62,-0.18,0.13,-0.01,0.17,-0.03,21.0,23.0,22.0,23.0,0.16,0.13,0.09,0.08,11.86,3.58,0.06,0.06,2.55,9.78,1.25,20.0,23.0,0.15,0.23,0.15,0.05,0.19,0.0,0.24,-0.02,22.0,23.0,22.0,16.0,245.12,0.39,0.39,0.91,0.78,1.0,0.01,0.04,1.0,16.19,0.43,0.5,2.15,1.52,45.0,77.0,213.0,0.88,2.8,0.0,39.0,198735.0,2561.0,0.23,0.21,0.09,0.02,73.93,8.87,94.97,14.27,246.07,3.57,2.71,1.89,245.01,0.6,245.01,0.57,0.58,0.33,0.27,166693.12,1898.92,0.0,0.0,0.27,0.14,0.27,57.63,47.69,0.02,0.44,0.31,0.51,0.9,0.0,0.04,0.43,0.21,0.55,0.92,0.0
Short Win mean,Short,Win,mean,1.68,236.02,6.0,41.18,22.18,106.32,22.36,0.1,1.02,1.46,22.14,18.0,80.35,1.17,2.91,6.56,22.14,91.57,6.36,22.18,23.45,32.18,-4.43,36.54,-7.12,0.15,-0.05,0.17,-0.07,20.36,4.77,19.91,5.91,0.06,0.04,0.03,0.04,1.95,0.83,0.09,0.07,1.26,3.53,-1.86,7.41,9.73,0.08,0.16,0.05,0.24,0.37,-0.03,0.4,-0.08,20.45,3.41,20.23,1.73,236.22,0.23,0.23,0.51,0.49,0.74,-0.0,0.0,0.74,1.48,0.1,0.11,1.22,0.99,5.18,11.55,24.14,0.29,1.35,-0.0,10.0,77677.68,1273.23,0.08,0.06,0.01,0.01,36.64,4.89,41.42,5.42,237.07,0.86,1.25,0.75,236.5,0.28,236.49,0.27,0.2,0.15,0.14,65120.76,1025.09,-0.0,0.0,0.1,0.09,0.15,37.9,23.02,-0.28,0.28,-2.01,-0.71,0.62,0.0,-0.32,0.3,-1.81,-0.74,0.63,0.0
Short Win std,Short,Win,std,0.72,6.46,1.35,32.1,16.01,20.24,32.82,0.12,0.32,0.45,10.48,10.27,17.51,0.38,2.04,4.51,10.48,22.91,4.37,10.34,10.42,37.37,4.92,41.53,5.03,0.14,0.04,0.15,0.04,11.15,6.19,10.92,6.19,0.03,0.06,0.01,0.02,0.78,1.72,0.07,0.04,0.48,1.36,2.35,7.55,7.13,0.06,0.08,0.06,0.24,0.25,0.03,0.26,0.03,11.14,3.4,10.79,2.9,6.49,0.07,0.07,0.2,0.2,0.18,0.01,0.0,0.18,0.59,0.06,0.06,0.39,0.1,15.66,20.66,38.49,0.22,0.77,0.0,4.97,37792.98,656.72,0.06,0.06,0.02,0.01,6.86,2.38,12.56,3.63,6.36,1.36,0.72,0.92,6.49,0.14,6.48,0.14,0.07,0.05,0.04,27241.56,383.67,0.0,0.0,0.04,0.03,0.05,10.87,12.43,0.16,0.07,1.48,0.38,0.14,0.0,0.16,0.06,1.93,0.36,0.14,0.0
Short Win min,Short,Win,min,0.0,222.31,2.0,14.0,1.0,70.0,0.35,0.0,0.01,0.01,3.0,3.0,38.46,1.0,1.0,1.0,3.0,0.77,2.0,4.0,5.0,0.82,-16.9,0.85,-18.6,0.03,-0.12,0.04,-0.16,3.0,0.0,3.0,1.0,0.01,-0.06,0.01,0.01,0.19,-3.77,0.01,0.01,0.16,1.64,-8.12,1.0,1.0,0.0,0.03,-0.04,-0.05,0.06,-0.1,0.06,-0.14,3.0,0.0,3.0,0.0,222.35,0.13,0.14,0.21,0.09,0.29,-0.03,-0.0,0.29,1.0,0.01,0.01,0.68,0.87,1.0,1.0,2.0,0.06,0.35,-0.01,4.0,36229.0,658.0,-0.03,-0.08,-0.01,-0.01,25.55,1.1,21.97,-2.65,222.15,-2.62,0.44,-0.96,222.53,-0.03,222.52,-0.03,0.1,0.08,0.08,35079.16,604.16,-0.0,0.0,0.04,0.04,0.08,20.13,-7.97,-0.49,0.15,-2.99,-1.0,0.32,0.0,-0.54,0.17,-2.98,-1.0,0.32,0.0
Short Win 25%,Short,Win,25%,1.0,230.87,5.25,20.0,9.0,94.75,1.56,0.01,0.84,1.22,13.0,10.0,74.46,1.0,1.0,3.0,13.0,100.0,4.0,14.0,14.25,8.78,-5.67,13.7,-9.3,0.04,-0.07,0.08,-0.08,9.5,1.0,10.25,2.0,0.04,0.01,0.02,0.02,1.48,0.38,0.03,0.03,0.9,2.82,-2.48,2.25,2.5,0.04,0.09,0.01,0.03,0.15,-0.05,0.16,-0.1,9.5,1.0,10.25,0.0,231.12,0.19,0.19,0.39,0.38,0.71,0.0,0.0,0.71,1.17,0.05,0.06,0.96,0.91,1.0,2.0,7.0,0.11,0.77,-0.0,5.25,51498.0,855.25,0.04,0.02,0.0,0.0,31.14,3.31,31.19,3.57,233.02,0.12,0.79,0.12,231.36,0.19,231.35,0.18,0.14,0.11,0.11,49893.25,784.95,-0.0,0.0,0.07,0.07,0.12,29.71,16.8,-0.41,0.25,-2.74,-0.99,0.53,0.0,-0.44,0.26,-2.84,-0.99,0.56,0.0
Short Win 50%,Short,Win,50%,2.0,237.29,6.0,25.0,18.0,106.0,12.7,0.06,1.05,1.51,22.5,16.0,84.17,1.0,2.5,5.5,22.5,100.0,5.0,22.0,25.0,20.88,-3.48,22.25,-6.87,0.1,-0.04,0.1,-0.07,20.5,2.0,19.0,3.0,0.05,0.03,0.03,0.03,1.97,1.19,0.08,0.05,1.37,3.22,-1.49,4.5,10.5,0.06,0.14,0.03,0.22,0.34,-0.02,0.37,-0.08,20.5,2.0,20.5,0.0,237.47,0.21,0.21,0.48,0.52,0.79,-0.0,-0.0,0.79,1.26,0.1,0.1,1.14,0.96,1.5,3.0,10.5,0.24,1.09,-0.0,9.0,64231.5,1092.5,0.07,0.05,0.01,0.01,36.93,4.89,42.62,5.56,237.28,0.89,0.97,0.96,237.68,0.24,237.68,0.24,0.18,0.15,0.13,54253.71,914.92,-0.0,0.0,0.09,0.08,0.15,35.15,24.4,-0.3,0.31,-2.49,-0.86,0.65,0.0,-0.35,0.32,-2.61,-0.87,0.66,0.0
Short Win 75%,Short,Win,75%,2.0,241.63,7.0,56.0,35.0,124.0,19.49,0.12,1.28,1.84,27.75,25.5,92.24,1.0,4.0,8.75,27.75,100.0,6.75,28.75,29.5,39.55,-0.28,45.88,-3.47,0.17,-0.01,0.21,-0.04,30.5,6.75,29.25,7.75,0.07,0.05,0.04,0.04,2.29,1.74,0.12,0.09,1.67,3.86,-0.05,10.5,13.0,0.1,0.22,0.05,0.36,0.49,-0.01,0.52,-0.06,30.5,4.0,29.25,2.5,241.71,0.27,0.27,0.62,0.61,0.86,-0.0,-0.0,0.86,1.41,0.14,0.15,1.43,1.06,2.0,7.75,26.0,0.4,1.59,-0.0,13.0,91812.5,1443.75,0.12,0.09,0.02,0.01,40.76,5.91,50.47,6.73,242.91,1.51,1.59,1.35,242.03,0.35,242.02,0.33,0.24,0.17,0.16,73587.2,1068.84,-0.0,0.0,0.12,0.09,0.18,47.93,32.47,-0.16,0.33,-2.03,-0.63,0.72,0.0,-0.19,0.34,-2.05,-0.66,0.74,0.0
